time,kind,loadId,deviceId,department,page,buildId,totalMs,interactiveMs,firstSnapshotMs,label
"09/08/2026, 05:30:00",timeout,181be9ea-14eb-4c98-822a-465398d3b24f_1786249080130,181be9ea-14eb-4c98-822a-465398d3b24f,InsideLab,InsideLab,dev,,,,page_load timeouts 10s×0 30s×342
"09/08/2026, 05:30:00",timeout,9e0bbaf8-dd53-4975-aa14-7ebe2a20418d_1786251136505,9e0bbaf8-dd53-4975-aa14-7ebe2a20418d,Validator,Validator,dev,,,,page_load timeouts 10s×0 30s×3
"09/08/2026, 05:30:00",timeout,cc7d1a36-1d12-4637-8600-589cc3e066d7_1786275173985,cc7d1a36-1d12-4637-8600-589cc3e066d7,Biochemistry,Biochemistry,dev,,,,biochemistry_register timeouts 10s×5836 30s×4455
"09/08/2026, 05:30:00",timeout,cc7d1a36-1d12-4637-8600-589cc3e066d7_1786275173985,cc7d1a36-1d12-4637-8600-589cc3e066d7,Biochemistry,Biochemistry,dev,,,,critical_alerts timeouts 10s×2150 30s×1267
"09/08/2026, 05:30:00",timeout,cc7d1a36-1d12-4637-8600-589cc3e066d7_1786273206051,cc7d1a36-1d12-4637-8600-589cc3e066d7,Biochemistry,Biochemistry,dev,,,,hormones_main timeouts 10s×190 30s×736
"09/08/2026, 05:30:00",timeout,cc7d1a36-1d12-4637-8600-589cc3e066d7_1786275173985,cc7d1a36-1d12-4637-8600-589cc3e066d7,Biochemistry,Biochemistry,dev,,,,master_register timeouts 10s×2124 30s×1267
"09/08/2026, 05:30:00",timeout,cc7d1a36-1d12-4637-8600-589cc3e066d7_1786261248261,cc7d1a36-1d12-4637-8600-589cc3e066d7,Biochemistry,Biochemistry,dev,,,,page_load timeouts 10s×0 30s×1571
"09/08/2026, 05:30:00",timeout,f3865457-284b-48b5-85da-e95ca4ff6cb6_1786248296218,f3865457-284b-48b5-85da-e95ca4ff6cb6,Registration,Mango,dev,,,,page_load timeouts 10s×0 30s×2348
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786268006481,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Validator,Validator,dev,,,,biochemistry_register timeouts 10s×254 30s×0
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786265494793,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Validator,Validator,dev,,,,bloodgroup_testing_register timeouts 10s×27 30s×0
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786267329020,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Validator,Validator,dev,,,,coagulation_register timeouts 10s×62 30s×0
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786269425895,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Haematology,Haematology,dev,,,,critical_alerts timeouts 10s×276 30s×144
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786268006481,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Validator,Validator,dev,,,,esr_register timeouts 10s×140 30s×140
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786269425895,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Haematology,Haematology,dev,,,,haematology_register timeouts 10s×269 30s×60
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786267740512,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Validator,Validator,dev,,,,hormones_main timeouts 10s×6 30s×1
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786269425895,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Haematology,Haematology,dev,,,,master_register timeouts 10s×170 30s×57
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786267329020,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Validator,Validator,dev,,,,page_load timeouts 10s×0 30s×356
"09/08/2026, 05:30:00",timeout,fb25b33c-7388-44ab-9596-9ec7c18f2c9d_1786267216320,fb25b33c-7388-44ab-9596-9ec7c18f2c9d,Registration,Mango,dev,,,,report_details timeouts 10s×15 30s×3
"09/08/2026, 00:12:48",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786214568171,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,BloodGroup,OwnerBloodGroup,dev,1485,1007.5,244.2999997138977,OwnerBloodGroup load
"09/08/2026, 00:12:40",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786214560301,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Biochemistry,Biochemistry,dev,1301.2000002861023,890.8000001907349,177,Biochemistry load
"09/08/2026, 00:12:35",page_load,12c0ac54-a6bc-4daa-ae68-4de2c3af029d_1786214553781,12c0ac54-a6bc-4daa-ae68-4de2c3af029d,Owner,OwnerWorkflow,dev,2701.9000000953674,1320.7999997138977,1249.8999996185303,OwnerWorkflow load
